date,hour,day_of_week,device,ad_id,total_clicks,avg_cost_per_click,total_cost
2024-01-01,11,0,MOBILE,1001,3,2.9983399596982956,8.995019879094887
2024-01-01,12,0,MOBILE,1004,1,2.108006450439997,2.108006450439997
2024-01-01,13,0,MOBILE,1001,3,4.14604223687715,12.438126710631451
2024-01-01,13,0,MOBILE,1004,5,2.6475425033292765,13.237712516646383
2024-01-01,14,0,MOBILE,1001,1,1.9651435828610935,1.9651435828610935
2024-01-01,15,0,MOBILE,1001,2,1.5530754318465059,3.1061508636930117
2024-01-01,16,0,MOBILE,1001,4,1.1616248844032424,4.64649953761297
2024-01-01,17,0,MOBILE,1001,2,1.692261472770432,3.384522945540864
2024-01-01,18,0,MOBILE,1001,3,1.5350668226634443,4.605200467990333
2024-01-01,19,0,MOBILE,1001,5,2.746974583551124,13.73487291775562
2024-01-01,20,0,MOBILE,1001,6,1.9198308738978305,11.518985243386982
2024-01-01,21,0,MOBILE,1001,1,3.0653087822432203,3.0653087822432203
2024-01-02,11,1,MOBILE,1001,3,2.8733360018086507,8.620008005425952
2024-01-02,11,1,MOBILE,1004,3,1.9425172083494566,5.82755162504837
2024-01-02,12,1,MOBILE,1001,4,1.8952961435077187,7.581184574030875
2024-01-02,12,1,MOBILE,1004,2,1.2620487706617716,2.524097541323543
2024-01-02,13,1,MOBILE,1001,3,2.5823487714489204,7.747046314346761
2024-01-02,13,1,MOBILE,1004,11,2.280179005533233,25.08196906086556
2024-01-02,14,1,MOBILE,1001,5,2.633125639358815,13.165628196794074
2024-01-02,14,1,MOBILE,1004,2,2.567974705177111,5.135949410354222
2024-01-02,15,1,MOBILE,1001,1,3.6642780286649703,3.6642780286649703
2024-01-02,16,1,MOBILE,1001,1,0.7308005691206758,0.7308005691206758
2024-01-02,17,1,MOBILE,1001,8,1.8862627353388444,15.090101882710755
2024-01-02,18,1,MOBILE,1001,3,1.0651555396500307,3.195466618950092
2024-01-02,19,1,MOBILE,1001,2,1.3579332978194203,2.7158665956388406
2024-01-02,20,1,MOBILE,1001,6,2.4517242434446778,14.710345460668066
2024-01-02,21,1,MOBILE,1001,4,2.045047327628561,8.180189310514244
2024-01-03,11,2,MOBILE,1001,3,1.9990348282362727,5.997104484708818
2024-01-03,11,2,MOBILE,1004,2,1.7077995787601,3.4155991575202
2024-01-03,12,2,MOBILE,1001,5,2.550686926748045,12.753434633740227
2024-01-03,12,2,MOBILE,1004,4,3.318286364017707,13.273145456070829
2024-01-03,13,2,MOBILE,1001,2,1.9424682637970991,3.8849365275941983
2024-01-03,13,2,MOBILE,1004,5,1.7429600986434195,8.714800493217098
2024-01-03,14,2,MOBILE,1001,4,1.7899757788085302,7.159903115234121
2024-01-03,14,2,MOBILE,1004,5,2.5644787810703646,12.822393905351824
2024-01-03,15,2,MOBILE,1001,1,3.740482817245465,3.740482817245465
2024-01-03,16,2,MOBILE,1001,2,3.008745403611569,6.017490807223138
2024-01-03,17,2,MOBILE,1001,1,0.806931748979868,0.806931748979868
2024-01-03,17,2,MOBILE,1002,4,3.123497591984981,12.493990367939924
2024-01-03,18,2,MOBILE,1001,5,2.4719627197031033,12.359813598515517
2024-01-03,18,2,MOBILE,1002,1,3.2323204969235886,3.2323204969235886
2024-01-03,19,2,MOBILE,1001,1,3.9314563429288043,3.9314563429288043
2024-01-03,19,2,MOBILE,1002,5,3.8586682398603287,19.293341199301643
2024-01-03,20,2,MOBILE,1002,2,3.5848419287004147,7.1696838574008295
2024-01-03,21,2,MOBILE,1001,1,1.053758539744751,1.053758539744751
2024-01-03,21,2,MOBILE,1002,5,4.090431906139132,20.45215953069566
2024-01-04,11,3,MOBILE,1001,5,2.856245867117432,14.28122933558716
2024-01-04,11,3,MOBILE,1004,7,2.2927919170752773,16.04954341952694
2024-01-04,12,3,MOBILE,1001,4,2.0265740332930435,8.106296133172174
2024-01-04,12,3,MOBILE,1004,5,2.7215336664616734,13.607668332308368
2024-01-04,13,3,MOBILE,1001,3,2.335495075810971,7.006485227432913
2024-01-04,13,3,MOBILE,1004,4,2.588434938287566,10.353739753150265
2024-01-04,14,3,MOBILE,1001,7,2.3509491226100363,16.456643858270255
2024-01-04,14,3,MOBILE,1004,3,1.2990783696039914,3.897235108811974
2024-01-04,16,3,MOBILE,1001,5,2.3949989209324025,11.974994604662012
2024-01-04,17,3,MOBILE,1001,4,2.844732784024113,11.378931136096451
2024-01-04,17,3,MOBILE,1002,1,3.1333930431328985,3.1333930431328985
2024-01-04,18,3,MOBILE,1001,3,2.28443301297021,6.853299038910631
2024-01-04,18,3,MOBILE,1002,6,2.8305543513712936,16.98332610822776
2024-01-04,19,3,MOBILE,1001,6,1.7025444771839418,10.21526686310365
2024-01-04,19,3,MOBILE,1002,5,4.0552528463494175,20.27626423174709
2024-01-04,20,3,MOBILE,1001,3,1.8972036036378723,5.691610810913617
2024-01-04,20,3,MOBILE,1002,2,3.0682609305193482,6.1365218610386965
2024-01-04,21,3,MOBILE,1001,3,2.2007807112964892,6.602342133889468
2024-01-04,21,3,MOBILE,1002,1,3.832861437880723,3.832861437880723
2024-01-05,11,4,MOBILE,1003,2,2.536160790450733,5.072321580901466
2024-01-05,11,4,MOBILE,1004,5,2.568537100682344,12.842685503411719
2024-01-05,12,4,MOBILE,1003,1,1.5933138047221105,1.5933138047221105
2024-01-05,12,4,MOBILE,1004,5,2.354877900457574,11.77438950228787
2024-01-05,13,4,MOBILE,1003,2,2.64248290415733,5.28496580831466
2024-01-05,13,4,MOBILE,1004,18,2.803101075189845,50.455819353417205
2024-01-05,14,4,MOBILE,1003,4,2.4270632151303095,9.708252860521238
2024-01-05,14,4,MOBILE,1004,4,3.1116285372112555,12.446514148845022
2024-01-05,15,4,MOBILE,1003,2,2.660232986042543,5.320465972085086
2024-01-05,16,4,MOBILE,1003,3,2.6752530191227404,8.025759057368221
2024-01-05,17,4,MOBILE,1002,1,2.6311130453250113,2.6311130453250113
2024-01-05,17,4,MOBILE,1003,1,1.4412387255648578,1.4412387255648578
2024-01-05,18,4,MOBILE,1003,2,1.3877055382510537,2.7754110765021074
2024-01-05,19,4,MOBILE,1002,6,3.788971153289277,22.733826919735662
2024-01-05,19,4,MOBILE,1003,7,2.132513001127045,14.927591007889315
2024-01-05,20,4,MOBILE,1002,1,3.70140471409948,3.70140471409948
2024-01-05,21,4,MOBILE,1002,2,3.8415397751436218,7.6830795502872435
2024-01-05,21,4,MOBILE,1003,4,3.018064423566123,12.072257694264492
2024-01-05,22,4,MOBILE,1002,3,2.054544133983677,6.1636324019510305
2024-01-05,22,4,MOBILE,1003,8,2.539348111729734,20.31478489383787
2024-01-05,23,4,MOBILE,1002,4,2.934295778814584,11.737183115258336
2024-01-05,23,4,MOBILE,1003,1,1.9723890941566964,1.9723890941566964
2024-01-06,11,5,MOBILE,1003,3,2.5229482807978965,7.568844842393689
2024-01-06,11,5,MOBILE,1004,3,2.021271048665014,6.0638131459950415
